78255 – Aleksandrovac, Pošte Srpske
89245 – Avtovac, Pošte Srpske
72286 – Babanovac, BH Pošta
75290 – Banovići, BH Pošta
78000 – Banja Luka, Pošte Srpske
78103 – Banja Luka, Pošte Srpske
78108 – Banja Luka, Pošte Srpske
78114 – Banja Luka, Pošte Srpske
70267 – Baraći, Pošte Srpske
76312 – Batković, Pošte Srpske
72233 – Begov Han, BH Pošta
88363 – Berkovići, Pošte Srpske
77000 – Bihać, BH Pošta
76204 – Bijela, HP Mostar
73263 – Bijelo Brdo, Pošte Srpske
76300 – Bijeljina, Pošte Srpske
76321 – Suho Polje, Pošte Srpske
72256 – Bila, HP Mostar
88268 – Biletić Polje, HP Mostar
71253 – Bilalovac, BH Pošta
89230 – Bileća, Pošte Srpske
72248 – Bilješevo, BH Pošta
88407 – Bjelimići, BH Pošta
88201 – Blagaj, BH Pošta
74275 – Blatnica, Pošte Srpske
88263 – Blatnica, HP Mostar
71215 – Blažuj, BH Pošta
76210 – Boće, HP Mostar
76277 – Bok, HP Mostar
74322 – Boljanić, Pošte Srpske
88405 – Boračko Jezero, BH Pošta
88365 – Borojevići, HP Mostar – Pošta privremeno zatvorena
73225 – Borike, Pošte Srpske
77240 – Bosanska Krupa, BH Pošta
77250 – Bosanski Petrovac, BH Pošta
80270 – Bosansko Grahovo, HP Mostar
75420 – Bratunac, Pošte Srpske
76100 – Brčko, Pošte Srpske
76120 – Brčko, BH Pošta
76101 – Brčko, Pošte Srpske
77205 – Brekovica, BH Pošta
74210 – Brestovo, Pošte Srpske
71255 – Brestovsko, HP Mostar
71370 – Breza, BH Pošta
79208 – Brezičani, Pošte Srpske
76216 – Brezovo Polje, Pošte Srpske
74206 – Brijesnica, BH Pošta
76206 – Brka, BH Pošta
72243 – Brnjic, BH Pošta
88243 – Broćanac, HP Mostar
73309 – Brod, Pošte Srpske
74450 – Brod, Pošte Srpske
76313 – Brodac, Pošte Srpske
78204 – Bronzani Majdan, Pošte Srpske
70230 – Bugojno, BH Pošta
75203 – Bukinje, BH Pošta
74277 – Buletić, Pošte Srpske Pošta zatvorena
72293 – Bučići, HP Mostar – Pošta privremeno zatvorena
88202 – Buna, HP Mostar
72260 – Busovača, HP Mostar
88366 – Burmazi, HP Mostar – Pošta privremeno zatvorena
88409 – Buturović Polje, BH Pošta
77245 – Bužim, BH Pošta
75405 – Caparde, Pošte Srpske
71347 – Careva Ćuprija, BH Pošta
77220 – Cazin, BH Pošta
76239 – Crkvina, Pošte Srpske
88367 – Crnići, HP Mostar
76328 – Crnjelovo, Pošte Srpske
73280 – Čajniče, Pošte Srpske
88300 – Čapljina, HP Mostar
88302 – Čapljina-Euroherc, HP Mostar
72224 – Čardak, BH Pošta
72246 – Čatići, BH Pošta
74274 – Čečava, Pošte Srpske
73307 – Čelebići, Pošte Srpske
88404 – Čelebići, BH Pošta
75246 – Čelić, BH Pošta
78240 – Čelinac, Pošte Srpske
88265 – Čerin, HP Mostar
88260 – Čitluk, HP Mostar
88261 – Čitluk-Euroherc, HP Mostar
77226 – Ćoralići, BH Pošta
78427 – Ćukali, Pošte Srpske
71223 – Delijaš, BH Pošta
79243 – Demirovac, Pošte Srpske
74400 – Derventa, Pošte Srpske
75444 – Derventa, Pošte Srpske
70204 – Divičani, HP Mostar
89233 – Divin, Pošte Srpske
74101 – Doboj, Pošte Srpske
75328 – Doborovci, BH Pošta
70210 – Dobretići, HP Mostar
79223 – Dobrljin, Pošte Srpske
73247 – Dobrun, Pošte Srpske
72278 – Dolac na Lašvi, BH Pošta
88446 – Doljani, HP Mostar
76233 – Domaljevac, HP Mostar
76231 – Domaljevac-Granični, HP Mostar
88305 – Domanovići, HP Mostar
76274 – Donja Mahala, HP Mostar
76257 – Donja Međiđa, BH Pošta
76237 – Donja Slatina, Pošte Srpske
71305 – Donje Moštre, BH Pošta
79228 – Donji Agići, Pošte Srpske
79266 – Donji Kamengrad, BH Pošta
88343 – Donji Mamići, HP Mostar
76297 – Donji Svilaj, HP Mostar
70220 – Donji Vakuf, BH Pošta
78432 – Donji Vijačani, Pošte Srpske
79289 – Donji Vrbljani, Pošte Srpske
76273 – Donji Žabar, Pošte Srpske
74209 – Dragalovci, Pošte Srpske
76323 – Dragaljevac, Pošte Srpske
78215 – Dragočaj, Pošte Srpske
88215 – Drežnica, BH Pošta
79290 – Drinić, Pošte Srpske
88344 – Drinovci, HP Mostar
75410 – Drinjača (Zvornik), Pošte Srpske
80260 – Drvar, HP Mostar
70237 – Drvetine, BH Pošta
75358 – Duboki Potok, BH Pošta
75308 – Duboštica, BH Pošta
79227 – Dubovik, Pošte Srpske
78411 – Dubrave, Pošte Srpske
75274 – Dubrave Donje, BH Pošta
75273 – Dubrave Gornje, BH Pošta
74483 – Dugo Polje, Pošte Srpske
88342 – Dužice, HP Mostar
76311 – Dvorovi, Pošte Srpske
75272 – Đurđevik, BH Pošta
79264 – Fajtovci, BH Pošta
75423 – Fakovići, Pošte Srpske
73302 – Foča, Pošte Srpske
71270 – Fojnica, BH Pošta
89247 – Fojnica, Pošte Srpske
88306 – Gabela, HP Mostar – Pošta privremeno zatvorena
89240 – Gacko, Pošte Srpske
74484 – Garevac, Pošte Srpske
80230 – Glamoč, HP Mostar
88406 – Glavatičevo,BH Pošta
76318 – Glavičice, Pošte Srpske
74258 – Globarica, HP Mostar
88422 – Glogošnica, BH Pošta
88392 – Gradac, HP Mostar – Pošta privremeno zatvorena
71275 – Gojevići, HP Mostar
78203 – Goleši, Pošte Srpske
73101 – Goražde, BH Pošta
76296 – Gornja Dubica, HP Mostar
77222 – Gornja Koprivna, BH Pošta
76238 – Gornja Slatina, Pošte Srpske
75208 – Gornja Tuzla, BH Pošta
78405 – Gornji Podgradci, Pošte Srpske
76207 – Gornji Rahić, BH Pošta
79288 – Gornji Ribnik, Pošte Srpske
78438 – Gornji Smrtići, Pošte Srpske
78439 – Gornji Štrpci, Pošte Srpske
74272 – Gornji Teslić, Pošte Srpske
70240 – Gornji Vakuf, BH Pošta
89201 – Grab, Pošte Srpske
74219 – Grabovica (RS 74219), Pošte Srpske
78227 – Grabovica (RS 78227), Pošte Srpske
88443 – Gračac, HP Mostar
75320 – Gračanica, BH Pošta
70233 – Gračanica kod Bugojna, BH Pošta
75276 – Gračanica (Živinice), BH Pošta
76250 – Gradačac, BH Pošta
78400 – Gradiška, Pošte Srpske
76234 – Grebnice, HP Mostar – Pošta privremeno zatvorena
88340 – Grude, HP Mostar
88341 – Grude-MUP, HP Mostar
80205 – Guber, HP Mostar – Pošta privremeno zatvorena
72277 – Guča Gora, BH Pošta
75404 – Gušteri, Pošte Srpske
71240 – Hadžići, BH Pošta
72225 – Hajderovići, BH Pošta
72245 – Haljinići, BH Pošta
72281 – Han Bila, BH Pošta
71360 – Han Pijesak, Pošte Srpske
88368 – Hodovo, HP Mostar- Pošta privremeno zatvorena
88395 – Hrasno, HP Mostar- Pošta privremeno zatvorena
71144 – Hreša, Pošte Srpske
78436 – Hrvaćani, Pošte Srpske
75216 – Husino, BH Pošta
88394 – Hutovo, HP Mostar,
71210 – Ilidža, BH Pošta
71380 – Ilijaš, BH Pošta
73208 – Ilovača, BH Pošta
78234 – Imljani, Pošte Srpske
71123 – Istočno Sarajevo, Pošte Srpske
77208 – Izačić, BH Pošta
88420 – Jablanica, BH Pošta
70101 – Jajce, HP Mostar,
76316 – Janja, Pošte Srpske
72215 – Janjići, BH Pošta
88224 – Jare, HP Mostar,
78233 – Javorani, Pošte Srpske
74264 – Jelah, BH Pošta
70206 – Jezero, Pošte Srpske
77241 – Jezerski, BH Pošta
79244 – Johova, Pošte Srpske
78244 – Jošavka, Pošte Srpske
72264 – Kaćuni, BH Pošta
